"ensembl_gene_id"	"mmusculus_homolog_ensembl_gene"	"mmusculus_homolog_associated_gene_name"	"external_gene_name"
"3167"	"ENSDARG00000058537"	NA	NA	NA
"3168"	"ENSDARG00000042671"	"ENSMUSG00000006010"	"Odr4"	"odr4"
"3169"	"ENSDARG00000017687"	"ENSMUSG00000053856"	"Dnajc5g"	"dnajc5gb"
"3170"	"ENSDARG00000052982"	"ENSMUSG00000023267"	"Gabrr2"	"gabrr2a"
"3171"	"ENSDARG00000091970"	"ENSMUSG00000024729"	"Ms4a20"	"ms4a17a.3"
"3172"	"ENSDARG00000091970"	"ENSMUSG00000024679"	"Ms4a6d"	"ms4a17a.3"
"3173"	"ENSDARG00000091970"	"ENSMUSG00000024677"	"Ms4a6b"	"ms4a17a.3"
"3174"	"ENSDARG00000091970"	"ENSMUSG00000079419"	"Ms4a6c"	"ms4a17a.3"
"3175"	"ENSDARG00000091970"	"ENSMUSG00000099398"	"Ms4a14"	"ms4a17a.3"
"3176"	"ENSDARG00000091970"	"ENSMUSG00000067571"	"Ms4a15"	"ms4a17a.3"
"3177"	"ENSDARG00000091970"	"ENSMUSG00000094584"	"Ms4a18"	"ms4a17a.3"
"3178"	"ENSDARG00000091970"	"ENSMUSG00000054523"	"Ms4a5"	"ms4a17a.3"
"3179"	"ENSDARG00000091970"	"ENSMUSG00000024672"	"Ms4a7"	"ms4a17a.3"
"3180"	"ENSDARG00000091970"	"ENSMUSG00000024731"	"Ms4a10"	"ms4a17a.3"
"3181"	"ENSDARG00000091970"	"ENSMUSG00000024728"	"Ms4a19"	"ms4a17a.3"
"3182"	"ENSDARG00000091970"	"ENSMUSG00000024673"	"Ms4a1"	"ms4a17a.3"
"3183"	"ENSDARG00000091970"	"ENSMUSG00000057240"	"Ms4a13"	"ms4a17a.3"
"3184"	"ENSDARG00000091970"	"ENSMUSG00000024680"	"Ms4a2"	"ms4a17a.3"
"3185"	"ENSDARG00000029720"	"ENSMUSG00000028037"	"Ifi44"	NA
"3186"	"ENSDARG00000029720"	"ENSMUSG00000039146"	"Ifi44l"	NA
"3187"	"ENSDARG00000088818"	NA	NA	NA
"3188"	"ENSDARG00000026611"	"ENSMUSG00000053113"	"Socs3"	"socs3b"
"3189"	"ENSDARG00000054700"	NA	NA	"prlh2r"
"3190"	"ENSDARG00000101387"	"ENSMUSG00000046447"	"Camk2n1"	"camk2n1"
"3191"	"ENSDARG00000003132"	"ENSMUSG00000010911"	"Apip"	"apip"
"3192"	"ENSDARG00000097629"	NA	NA	NA
"3193"	"ENSDARG00000040159"	NA	NA	"wnt4b"
"3194"	"ENSDARG00000040380"	"ENSMUSG00000028059"	"Arhgef2"	"arhgef1a"
"3195"	"ENSDARG00000016570"	"ENSMUSG00000005268"	"Prlr"	"prlra"
"3196"	"ENSDARG00000096458"	NA	NA	NA
"3197"	"ENSDARG00000099814"	"ENSMUSG00000050428"	"Fbxo46"	"fbxo46"
"3198"	"ENSDARG00000009544"	"ENSMUSG00000008843"	"Cldn13"	"cldnb"
"3199"	"ENSDARG00000009544"	"ENSMUSG00000047501"	"Cldn4"	"cldnb"
"3200"	"ENSDARG00000007760"	"ENSMUSG00000032388"	"Spg21"	"spg21"
"3201"	"ENSDARG00000078234"	NA	NA	NA
"3202"	"ENSDARG00000076388"	NA	NA	"jac11"
"3203"	"ENSDARG00000103149"	"ENSMUSG00000027742"	"Cog6"	"cog6"
"3204"	"ENSDARG00000089940"	NA	NA	NA
"3205"	"ENSDARG00000059202"	"ENSMUSG00000027858"	"Tspan2"	NA
"3206"	"ENSDARG00000037928"	"ENSMUSG00000020705"	"Ddx42"	"ddx42"
"3207"	"ENSDARG00000039649"	"ENSMUSG00000016510"	"Mtif3"	"mtif3"
"3208"	"ENSDARG00000097141"	NA	NA	NA
"3209"	"ENSDARG00000014969"	"ENSMUSG00000022265"	"Ank"	"ankhb"
"3210"	"ENSDARG00000074876"	"ENSMUSG00000031378"	"Abcd1"	"abcd1"
"3211"	"ENSDARG00000076462"	NA	NA	NA
"3212"	"ENSDARG00000105162"	NA	NA	NA
"3213"	"ENSDARG00000094959"	NA	NA	NA
"3214"	"ENSDARG00000095653"	NA	NA	NA
"3215"	"ENSDARG00000061174"	"ENSMUSG00000046897"	"Zfp740"	"znf740b"
"3216"	"ENSDARG00000013438"	"ENSMUSG00000101399"	"Gm28961"	"sycp3"
"3217"	"ENSDARG00000013438"	"ENSMUSG00000080725"	"Gm6121"	"sycp3"
"3218"	"ENSDARG00000013438"	"ENSMUSG00000095135"	"Gm21858"	"sycp3"
"3219"	"ENSDARG00000013438"	"ENSMUSG00000073125"	"Xlr3b"	"sycp3"
"3220"	"ENSDARG00000013438"	"ENSMUSG00000073255"	"Gm14632"	"sycp3"
"3221"	"ENSDARG00000013438"	"ENSMUSG00000101155"	"Sly"	"sycp3"
"3222"	"ENSDARG00000013438"	"ENSMUSG00000094181"	"Gm21739"	"sycp3"
"3223"	"ENSDARG00000013438"	"ENSMUSG00000095141"	"Gm28891"	"sycp3"
"3224"	"ENSDARG00000013438"	"ENSMUSG00000104191"	"Gm30737"	"sycp3"
"3225"	"ENSDARG00000013438"	"ENSMUSG00000095979"	"Gm21209"	"sycp3"
"3226"	"ENSDARG00000013438"	"ENSMUSG00000054626"	"Xlr"	"sycp3"
"3227"	"ENSDARG00000013438"	"ENSMUSG00000100231"	"Gm29554"	"sycp3"
"3228"	"ENSDARG00000013438"	"ENSMUSG00000093895"	"Gm21865"	"sycp3"
"3229"	"ENSDARG00000013438"	"ENSMUSG00000067909"	"Slxl1"	"sycp3"
"3230"	"ENSDARG00000013438"	"ENSMUSG00000020059"	"Sycp3"	"sycp3"
"3231"	"ENSDARG00000013438"	"ENSMUSG00000093993"	"Gm20736"	"sycp3"
"3232"	"ENSDARG00000013438"	"ENSMUSG00000100939"	"Gm28998"	"sycp3"
"3233"	"ENSDARG00000013438"	"ENSMUSG00000101915"	"Gm28102"	"sycp3"
"3234"	"ENSDARG00000013438"	"ENSMUSG00000100467"	"Gm29582"	"sycp3"
"3235"	"ENSDARG00000013438"	"ENSMUSG00000094746"	"Gm20916"	"sycp3"
"3236"	"ENSDARG00000013438"	"ENSMUSG00000099541"	"Gm21488"	"sycp3"
"3237"	"ENSDARG00000013438"	"ENSMUSG00000095263"	"Gm21094"	"sycp3"
"3238"	"ENSDARG00000013438"	"ENSMUSG00000100645"	"Gm28576"	"sycp3"
"3239"	"ENSDARG00000013438"	"ENSMUSG00000095546"	"Gm10230"	"sycp3"
"3240"	"ENSDARG00000013438"	"ENSMUSG00000100240"	"Gm20820"	"sycp3"
"3241"	"ENSDARG00000013438"	"ENSMUSG00000101158"	"Gm20894"	"sycp3"
"3242"	"ENSDARG00000013438"	"ENSMUSG00000079845"	"Xlr4a"	"sycp3"
"3243"	"ENSDARG00000013438"	"ENSMUSG00000101146"	"Gm20814"	"sycp3"
"3244"	"ENSDARG00000013438"	"ENSMUSG00000100535"	"Gm20870"	"sycp3"
"3245"	"ENSDARG00000013438"	"ENSMUSG00000099740"	"Gm28897"	"sycp3"
"3246"	"ENSDARG00000013438"	"ENSMUSG00000100726"	"Gm21497"	"sycp3"
"3247"	"ENSDARG00000013438"	"ENSMUSG00000103919"	"Gm21366"	"sycp3"
"3248"	"ENSDARG00000013438"	"ENSMUSG00000094714"	"Gm16430"	"sycp3"
"3249"	"ENSDARG00000013438"	"ENSMUSG00000073247"	"Gm10486"	"sycp3"
"3250"	"ENSDARG00000013438"	"ENSMUSG00000100972"	"Gm28553"	"sycp3"
"3251"	"ENSDARG00000013438"	"ENSMUSG00000099925"	"Gm28827"	"sycp3"
"3252"	"ENSDARG00000013438"	"ENSMUSG00000094782"	"Gm21256"	"sycp3"
"3253"	"ENSDARG00000013438"	"ENSMUSG00000031125"	"3830403N18Rik"	"sycp3"
"3254"	"ENSDARG00000013438"	"ENSMUSG00000100608"	"Gm21996"	"sycp3"
"3255"	"ENSDARG00000013438"	"ENSMUSG00000072479"	"Xlr5b"	"sycp3"
"3256"	"ENSDARG00000013438"	"ENSMUSG00000067764"	"Xlr5c"	"sycp3"
"3257"	"ENSDARG00000013438"	"ENSMUSG00000096769"	"Gm21117"	"sycp3"
"3258"	"ENSDARG00000013438"	"ENSMUSG00000100338"	"Gm28870"	"sycp3"
"3259"	"ENSDARG00000013438"	"ENSMUSG00000079577"	"Gm14692"	"sycp3"
"3260"	"ENSDARG00000013438"	"ENSMUSG00000073177"	"Gm773"	"sycp3"
"3261"	"ENSDARG00000013438"	"ENSMUSG00000100708"	"Gm21173"	"sycp3"
"3262"	"ENSDARG00000013438"	"ENSMUSG00000099792"	"Gm29564"	"sycp3"
"3263"	"ENSDARG00000013438"	"ENSMUSG00000100856"	"Gm21627"	"sycp3"
"3264"	"ENSDARG00000013438"	"ENSMUSG00000095578"	"Gm21760"	"sycp3"
"3265"	"ENSDARG00000013438"	"ENSMUSG00000101157"	"Gm20905"	"sycp3"
"3266"	"ENSDARG00000013438"	"ENSMUSG00000079578"	"Gm1140"	"sycp3"
"3267"	"ENSDARG00000013438"	"ENSMUSG00000094624"	"Gm4836"	"sycp3"
"3268"	"ENSDARG00000013438"	"ENSMUSG00000099531"	"Gm20869"	"sycp3"
"3269"	"ENSDARG00000013438"	"ENSMUSG00000100032"	"Gm20817"	"sycp3"
"3270"	"ENSDARG00000013438"	"ENSMUSG00000100892"	"Gm20897"	"sycp3"
"3271"	"ENSDARG00000013438"	"ENSMUSG00000058328"	"Xlr5a"	"sycp3"
"3272"	"ENSDARG00000013438"	"ENSMUSG00000096178"	"Gm20837"	"sycp3"
"3273"	"ENSDARG00000013438"	"ENSMUSG00000094616"	"Gm20888"	"sycp3"
"3274"	"ENSDARG00000013438"	"ENSMUSG00000094399"	"Gm21477"	"sycp3"
"3275"	"ENSDARG00000013438"	"ENSMUSG00000094789"	"Gm28490"	"sycp3"
"3276"	"ENSDARG00000013438"	"ENSMUSG00000073267"	"Gm1993"	"sycp3"
"3277"	"ENSDARG00000013438"	"ENSMUSG00000101471"	"Gm29276"	"sycp3"
"3278"	"ENSDARG00000013438"	"ENSMUSG00000054727"	"1700013H16Rik"	"sycp3"
"3279"	"ENSDARG00000013438"	"ENSMUSG00000099856"	"Gm20906"	"sycp3"
"3280"	"ENSDARG00000013438"	"ENSMUSG00000073245"	"Gm14819"	"sycp3"
"3281"	"ENSDARG00000013438"	"ENSMUSG00000095887"	"Gm10096"	"sycp3"
"3282"	"ENSDARG00000013438"	"ENSMUSG00000095606"	"Gm21258"	"sycp3"
"3283"	"ENSDARG00000013438"	"ENSMUSG00000083628"	"Gm2030"	"sycp3"
"3284"	"ENSDARG00000013438"	"ENSMUSG00000100485"	"Gm20920"	"sycp3"
"3285"	"ENSDARG00000013438"	"ENSMUSG00000100055"	"Gm20890"	"sycp3"
"3286"	"ENSDARG00000013438"	"ENSMUSG00000096902"	"Gm20843"	"sycp3"
"3287"	"ENSDARG00000013438"	"ENSMUSG00000095793"	"Gm20855"	"sycp3"
"3288"	"ENSDARG00000013438"	"ENSMUSG00000096457"	"Gm10147"	"sycp3"
"3289"	"ENSDARG00000013438"	"ENSMUSG00000073257"	"Gm10488"	"sycp3"
"3290"	"ENSDARG00000013438"	"ENSMUSG00000095063"	"Slx"	"sycp3"
"3291"	"ENSDARG00000013438"	"ENSMUSG00000101933"	"Gm20835"	"sycp3"
"3292"	"ENSDARG00000013438"	"ENSMUSG00000095293"	"Gm10058"	"sycp3"
"3293"	"ENSDARG00000013438"	"ENSMUSG00000102668"	"Gm29866"	"sycp3"
"3294"	"ENSDARG00000013438"	"ENSMUSG00000094647"	"Gm21650"	"sycp3"
"3295"	"ENSDARG00000013438"	"ENSMUSG00000100045"	"Gm20929"	"sycp3"
"3296"	"ENSDARG00000013438"	"ENSMUSG00000101766"	"Gm20908"	"sycp3"
"3297"	"ENSDARG00000013438"	"ENSMUSG00000081218"	"Gm4297"	"sycp3"
"3298"	"ENSDARG00000013438"	"ENSMUSG00000031362"	"Xlr4c"	"sycp3"
"3299"	"ENSDARG00000013438"	"ENSMUSG00000095153"	"Gm21095"	"sycp3"
"3300"	"ENSDARG00000013438"	"ENSMUSG00000101396"	"Gm28510"	"sycp3"
"3301"	"ENSDARG00000013438"	"ENSMUSG00000096650"	"Gm20896"	"sycp3"
"3302"	"ENSDARG00000013438"	"ENSMUSG00000100667"	"Gm57478"	"sycp3"
"3303"	"ENSDARG00000013438"	"ENSMUSG00000099782"	"Gm20903"	"sycp3"
"3304"	"ENSDARG00000013438"	"ENSMUSG00000099894"	"Gm20911"	"sycp3"
"3305"	"ENSDARG00000013438"	"ENSMUSG00000057836"	"Xlr3a"	"sycp3"
"3306"	"ENSDARG00000013438"	"ENSMUSG00000096016"	"Gm20937"	"sycp3"
"3307"	"ENSDARG00000013438"	"ENSMUSG00000101528"	"Gm29110"	"sycp3"
"3308"	"ENSDARG00000013438"	"ENSMUSG00000094821"	"Gm21518"	"sycp3"
"3309"	"ENSDARG00000013438"	"ENSMUSG00000102045"	"Gm21294"	"sycp3"
"3310"	"ENSDARG00000013438"	"ENSMUSG00000096468"	"Gm16405"	"sycp3"
"3311"	"ENSDARG00000013438"	"ENSMUSG00000096620"	"Gm5169"	"sycp3"
"3312"	"ENSDARG00000013438"	"ENSMUSG00000101928"	"Gm20824"	"sycp3"
"3313"	"ENSDARG00000013438"	"ENSMUSG00000095011"	"Gm20838"	"sycp3"
"3314"	"ENSDARG00000013438"	"ENSMUSG00000099840"	"Gm21409"	"sycp3"
"3315"	"ENSDARG00000013438"	"ENSMUSG00000103371"	"Gm35134"	"sycp3"
"3316"	"ENSDARG00000013438"	"ENSMUSG00000094570"	"Gm20931"	"sycp3"
"3317"	"ENSDARG00000013438"	"ENSMUSG00000096626"	"Gm21861"	"sycp3"
"3318"	"ENSDARG00000013438"	"ENSMUSG00000101243"	"Gm28919"	"sycp3"
"3319"	"ENSDARG00000013438"	"ENSMUSG00000101286"	"Gm21317"	"sycp3"
"3320"	"ENSDARG00000013438"	"ENSMUSG00000101653"	"Gm20792"	"sycp3"
"3321"	"ENSDARG00000013438"	"ENSMUSG00000102122"	"Gm20883"	"sycp3"
"3322"	"ENSDARG00000013438"	"ENSMUSG00000093923"	"Gm5935"	"sycp3"
"3323"	"ENSDARG00000013438"	"ENSMUSG00000079655"	"Gm5168"	"sycp3"
"3324"	"ENSDARG00000013438"	"ENSMUSG00000100902"	"Gm20850"	"sycp3"
"3325"	"ENSDARG00000013438"	"ENSMUSG00000094759"	"Gm10487"	"sycp3"
"3326"	"ENSDARG00000013438"	"ENSMUSG00000067768"	"Xlr4b"	"sycp3"
"3327"	"ENSDARG00000013438"	"ENSMUSG00000058147"	"Xlr3c"	"sycp3"
"3328"	"ENSDARG00000013438"	"ENSMUSG00000071788"	"Gm14525"	"sycp3"
"3329"	"ENSDARG00000013438"	"ENSMUSG00000082639"	"Gm2012"	"sycp3"
"3330"	"ENSDARG00000013438"	"ENSMUSG00000084063"	"Gm5934"	"sycp3"
"3331"	"ENSDARG00000013438"	"ENSMUSG00000103528"	"Gm31571"	"sycp3"
"3332"	"ENSDARG00000045383"	"ENSMUSG00000044067"	"Gpr22"	"GPR22"
"3333"	"ENSDARG00000070929"	"ENSMUSG00000053747"	"Sox14"	"sox14"
"3334"	"ENSDARG00000004130"	"ENSMUSG00000041939"	"Mvk"	"mvk"
"3335"	"ENSDARG00000077570"	NA	NA	NA
"3336"	"ENSDARG00000043457"	"ENSMUSG00000097148"	"Gapdhrt"	"gapdh"
"3337"	"ENSDARG00000043457"	"ENSMUSG00000057666"	"Gapdh"	"gapdh"
"3338"	"ENSDARG00000043457"	"ENSMUSG00000110469"	"Gapdhrt2"	"gapdh"
"3339"	"ENSDARG00000030914"	"ENSMUSG00000039886"	"Tmem120a"	"tmem120aa"
"3340"	"ENSDARG00000013726"	"ENSMUSG00000032952"	"Ap4b1"	"ap4b1"
"3341"	"ENSDARG00000013704"	"ENSMUSG00000015714"	"Cers2"	"cers2a"
"3342"	"ENSDARG00000031751"	"ENSMUSG00000028469"	"Npr2"	"npr1a"
"3343"	"ENSDARG00000075437"	"ENSMUSG00000042626"	"Shc1"	"SHC1"
"3344"	"ENSDARG00000029497"	"ENSMUSG00000026380"	"Tfcp2l1"	"tfcp2l1"
"3345"	"ENSDARG00000061222"	"ENSMUSG00000001924"	"Uba1"	NA
"3346"	"ENSDARG00000061222"	"ENSMUSG00000069053"	"Uba1y"	NA
"3347"	"ENSDARG00000061222"	"ENSMUSG00000032596"	"Uba7"	NA
"3348"	"ENSDARG00000030236"	"ENSMUSG00000032328"	"Tmem30a"	"tmem30aa"
"3349"	"ENSDARG00000062195"	"ENSMUSG00000052934"	"Fbxo31"	"FBXO31"
"3350"	"ENSDARG00000090086"	NA	NA	"rab11bb"
"3351"	"ENSDARG00000079766"	"ENSMUSG00000037321"	"Tap1"	"TAP1"
"3352"	"ENSDARG00000097374"	NA	NA	NA
"3353"	"ENSDARG00000100449"	NA	NA	NA
"3354"	"ENSDARG00000094339"	NA	NA	NA
"3355"	"ENSDARG00000041702"	"ENSMUSG00000019900"	"Rfx6"	"rfx6"
"3356"	"ENSDARG00000076406"	NA	NA	"ggcta"
"3357"	"ENSDARG00000042041"	"ENSMUSG00000028417"	"Tal2"	"tal2"
"3358"	"ENSDARG00000079456"	NA	NA	NA
"3359"	"ENSDARG00000019596"	"ENSMUSG00000053510"	"Nrdc"	"NRDC"
"3360"	"ENSDARG00000093585"	NA	NA	NA
"3361"	"ENSDARG00000093734"	NA	NA	NA
"3362"	"ENSDARG00000091877"	NA	NA	NA
"3363"	"ENSDARG00000043497"	"ENSMUSG00000020877"	"Scrn2"	"scrn2"
"3364"	"ENSDARG00000024844"	NA	NA	"max"
"3365"	"ENSDARG00000045542"	"ENSMUSG00000050552"	"Lamtor4"	"lamtor4"
"3366"	"ENSDARG00000076541"	"ENSMUSG00000025784"	"Clec3b"	"CLEC3B"
"3367"	"ENSDARG00000014463"	"ENSMUSG00000026641"	"Usf1"	"usf1l"
"3368"	"ENSDARG00000060889"	"ENSMUSG00000058057"	"Tmt1a3"	"tmt1a.3"
"3369"	"ENSDARG00000060889"	"ENSMUSG00000054619"	"Tmt1a"	"tmt1a.3"
"3370"	"ENSDARG00000060889"	"ENSMUSG00000056487"	"Tmt1a2"	"tmt1a.3"
"3371"	"ENSDARG00000101184"	NA	NA	NA
"3372"	"ENSDARG00000095643"	NA	NA	"si:dkey-253d23.3"
"3373"	"ENSDARG00000023396"	"ENSMUSG00000038160"	"Atg5"	"atg5"
"3374"	"ENSDARG00000041083"	"ENSMUSG00000024481"	"Lvrn"	"anpeplb"
"3375"	"ENSDARG00000062446"	"ENSMUSG00000039873"	"Neurl2"	"neurl2"
"3376"	"ENSDARG00000089142"	NA	NA	"zgc:113119"
"3377"	"ENSDARG00000038489"	"ENSMUSG00000079445"	"B3gnt7"	"b3gnt7"
"3378"	"ENSDARG00000092584"	"ENSMUSG00000049734"	"Trex1"	NA
"3379"	"ENSDARG00000092584"	"ENSMUSG00000031372"	"Trex2"	NA
"3380"	"ENSDARG00000006816"	"ENSMUSG00000067995"	"Gtf2f2"	"gtf2f2b"
"3381"	"ENSDARG00000035862"	"ENSMUSG00000079019"	"Insl3"	"insl3"
"3382"	"ENSDARG00000068436"	"ENSMUSG00000060743"	"H3f3a"	"si:ch1073-429i10.3"
"3383"	"ENSDARG00000097121"	NA	NA	NA
"3384"	"ENSDARG00000093188"	NA	NA	"si:dkey-75a21.2"
"3385"	"ENSDARG00000071378"	"ENSMUSG00000049760"	"Micos13"	"micos13"
"3386"	"ENSDARG00000100578"	NA	NA	NA
"3387"	"ENSDARG00000111070"	NA	NA	NA
"3388"	"ENSDARG00000101812"	"ENSMUSG00000038453"	"Srcin1"	"srcin1b"
"3389"	"ENSDARG00000100612"	NA	NA	NA
"3390"	"ENSDARG00000100486"	NA	NA	NA
"3391"	"ENSDARG00000105551"	NA	NA	NA
"3392"	"ENSDARG00000055589"	"ENSMUSG00000040808"	"S100g"	"s100t"
"3393"	"ENSDARG00000055589"	"ENSMUSG00000001020"	"S100a4"	"s100t"
"3394"	"ENSDARG00000055589"	"ENSMUSG00000056071"	"S100a9"	"s100t"
"3395"	"ENSDARG00000055589"	"ENSMUSG00000096621"	"Gm5849"	"s100t"
"3396"	"ENSDARG00000055589"	"ENSMUSG00000121905"	NA	"s100t"
"3397"	"ENSDARG00000055589"	"ENSMUSG00000121904"	NA	"s100t"
"3398"	"ENSDARG00000055589"	"ENSMUSG00000001025"	"S100a6"	"s100t"
"3399"	"ENSDARG00000055589"	"ENSMUSG00000094018"	"S100a2"	"s100t"
"3400"	"ENSDARG00000055589"	"ENSMUSG00000001023"	"S100a5"	"s100t"
"3401"	"ENSDARG00000055589"	"ENSMUSG00000063767"	"S100a7a"	"s100t"
"3402"	"ENSDARG00000055589"	"ENSMUSG00000001021"	"S100a3"	"s100t"
"3403"	"ENSDARG00000055589"	"ENSMUSG00000078657"	"Crnn"	"s100t"
"3404"	"ENSDARG00000055589"	"ENSMUSG00000041959"	"S100a10"	"s100t"
"3405"	"ENSDARG00000055589"	"ENSMUSG00000042306"	"S100a14"	"s100t"
"3406"	"ENSDARG00000055589"	"ENSMUSG00000056054"	"S100a8"	"s100t"
"3407"	"ENSDARG00000062359"	"ENSMUSG00000049281"	"Scn3b"	"scn3b"
"3408"	"ENSDARG00000070046"	"ENSMUSG00000022338"	"Eny2"	"eny2"
"3409"	"ENSDARG00000078132"	NA	NA	NA
"3410"	"ENSDARG00000032340"	"ENSMUSG00000058586"	"Serhl"	"serhl"
"3411"	"ENSDARG00000079373"	"ENSMUSG00000024912"	"Fosl1"	NA
"3412"	"ENSDARG00000056744"	"ENSMUSG00000058579"	"Cela2a"	"ela2"
"3413"	"ENSDARG00000021287"	"ENSMUSG00000079477"	"Rab7"	"rab7b"
"3414"	"ENSDARG00000008660"	"ENSMUSG00000024835"	"Coro1b"	"coro1b"
"3415"	"ENSDARG00000041085"	"ENSMUSG00000039043"	"Arpin"	"arpin"
"3416"	"ENSDARG00000040338"	"ENSMUSG00000064267"	"Hvcn1"	"hvcn1"
"3417"	"ENSDARG00000062855"	NA	NA	"plekhg7"
"3418"	"ENSDARG00000060176"	"ENSMUSG00000035601"	"Trmt10b"	"trmt10b"
"3419"	"ENSDARG00000093393"	NA	NA	NA
"3420"	"ENSDARG00000039458"	"ENSMUSG00000026468"	"Lhx4"	"lhx4"
"3421"	"ENSDARG00000061968"	"ENSMUSG00000066952"	"Myo1h"	"MYO1H"
"3422"	"ENSDARG00000062083"	"ENSMUSG00000026975"	"Dph7"	"dph7"
"3423"	"ENSDARG00000021975"	"ENSMUSG00000040006"	"Ginm1"	"ginm1"
"3424"	"ENSDARG00000042977"	"ENSMUSG00000056749"	"Nfil3"	"nfil3"
"3425"	"ENSDARG00000113501"	NA	NA	NA
"3426"	"ENSDARG00000091967"	"ENSMUSG00000026803"	"Ttf1"	"ttf1.1"
"3427"	"ENSDARG00000102473"	NA	NA	NA
"3428"	"ENSDARG00000102529"	NA	NA	NA
"3429"	"ENSDARG00000015206"	"ENSMUSG00000039630"	"Hnrnpu"	"HNRNPU"
"3430"	"ENSDARG00000098240"	"ENSMUSG00000027210"	"Meis2"	"meis2a"
"3431"	"ENSDARG00000005454"	"ENSMUSG00000037313"	"Tacc3"	"tacc3"
"3432"	"ENSDARG00000095076"	NA	NA	NA
"3433"	"ENSDARG00000057262"	NA	NA	"cyp27a3"
"3434"	"ENSDARG00000076330"	"ENSMUSG00000026659"	"Dusp12"	"dusp12"
"3435"	"ENSDARG00000089271"	"ENSMUSG00000046449"	"Nexmif"	"NEXMIF"
"3436"	"ENSDARG00000095219"	NA	NA	NA
"3437"	"ENSDARG00000006924"	"ENSMUSG00000042211"	"Fbxo38"	"FBXO38"
"3438"	"ENSDARG00000100225"	NA	NA	"KIF16B"
"3439"	"ENSDARG00000105601"	NA	NA	NA
"3440"	"ENSDARG00000060316"	"ENSMUSG00000032578"	"Cish"	"cish"
"3441"	"ENSDARG00000079158"	"ENSMUSG00000022847"	"Thpo"	"thpo"
"3442"	"ENSDARG00000113704"	NA	NA	NA
"3443"	"ENSDARG00000022895"	"ENSMUSG00000031139"	"Mcf2"	"MCF2"
"3444"	"ENSDARG00000105768"	NA	NA	"or93a6"
"3445"	"ENSDARG00000025350"	NA	NA	"prdx2"
"3446"	"ENSDARG00000056089"	"ENSMUSG00000029148"	"Nrbp1"	"nrbp1"
"3447"	"ENSDARG00000061508"	"ENSMUSG00000070939"	"Tgfbrap1"	"tgfbrap1"
"3448"	"ENSDARG00000079537"	NA	NA	NA
"3449"	"ENSDARG00000040466"	"ENSMUSG00000026175"	"Vil1"	"vil1"
"3450"	"ENSDARG00000010149"	"ENSMUSG00000025428"	"Atp5f1a"	"atp5fa1"
"3451"	"ENSDARG00000056037"	NA	NA	NA
"3452"	"ENSDARG00000091961"	"ENSMUSG00000059077"	"Pth"	"pth1b"
"3453"	"ENSDARG00000017853"	"ENSMUSG00000024127"	"Prepl"	"prepl"
"3454"	"ENSDARG00000010052"	"ENSMUSG00000027634"	"Ndrg3"	"ndrg3b"
"3455"	"ENSDARG00000039887"	"ENSMUSG00000018446"	"C1qbp"	"c1qbp"
"3456"	"ENSDARG00000078767"	"ENSMUSG00000041215"	"Yeats2"	"YEATS2"
"3457"	"ENSDARG00000070403"	"ENSMUSG00000022359"	"Ntaq1"	"ntaq1"
"3458"	"ENSDARG00000035679"	"ENSMUSG00000015671"	"Psma2"	"psma2b"
"3459"	"ENSDARG00000091933"	NA	NA	NA
"3460"	"ENSDARG00000040606"	"ENSMUSG00000028640"	"Tfap2c"	"tfap2c"
"3461"	"ENSDARG00000099764"	NA	NA	NA
"3462"	"ENSDARG00000008866"	"ENSMUSG00000024857"	"Cabp2"	"cabp4"
"3463"	"ENSDARG00000006939"	NA	NA	"tbx16l"
"3464"	"ENSDARG00000079443"	"ENSMUSG00000019772"	"Vip"	"vipb"
"3465"	"ENSDARG00000014068"	"ENSMUSG00000011752"	"Pgam1"	"pgam1b"
"3466"	"ENSDARG00000099468"	NA	NA	NA
"3467"	"ENSDARG00000003270"	"ENSMUSG00000060038"	"Dhps"	"dhps"
"3468"	"ENSDARG00000036743"	NA	NA	"nitr7a"
"3469"	"ENSDARG00000014480"	NA	NA	"nr6a1b"
"3470"	"ENSDARG00000099471"	NA	NA	NA
"3471"	"ENSDARG00000091909"	NA	NA	NA
"3472"	"ENSDARG00000002230"	"ENSMUSG00000031144"	"Syp"	"sypb"
"3473"	"ENSDARG00000007444"	"ENSMUSG00000029469"	"Ift81"	"ift81"
"3474"	"ENSDARG00000070222"	"ENSMUSG00000078235"	"Fam43b"	"fam43b"
"3475"	"ENSDARG00000036748"	NA	NA	"nitr8"
"3476"	"ENSDARG00000036305"	"ENSMUSG00000018572"	"Phf23"	"phf23b"
"3477"	"ENSDARG00000052271"	"ENSMUSG00000000154"	"Slc22a18"	"slc22a18"
"3478"	"ENSDARG00000092480"	"ENSMUSG00000024962"	"Vegfb"	NA
"3479"	"ENSDARG00000097556"	"ENSMUSG00000050445"	"Cyp8b1"	"cyp8b1.2"
"3480"	"ENSDARG00000017985"	"ENSMUSG00000025766"	"D3Ertd751e"	"C1H4orf33"
"3481"	"ENSDARG00000058090"	"ENSMUSG00000028730"	"Cfap57"	"CFAP57"
"3482"	"ENSDARG00000107226"	NA	NA	NA
"3483"	"ENSDARG00000036987"	"ENSMUSG00000022367"	"Has2"	"has2"
"3484"	"ENSDARG00000057093"	"ENSMUSG00000042207"	"Kdm5b"	"kdm5ba"
"3485"	"ENSDARG00000015278"	"ENSMUSG00000074785"	"Plxnc1"	"PLXNC1"
